Designator,Mid X,Mid Y,Layer,Rotation
BT1,35.05mm,48.949858mm,Bottom,90.0
C2,6.600045mm,57.080002mm,Bottom,270.0
C3,8.55003mm,57.080002mm,Bottom,270.0
C4,10.500015mm,57.080002mm,Bottom,270.0
C5,12.45mm,57.080002mm,Bottom,270.0
C6,14.450079mm,53.664993mm,Bottom,90.0
C7,14.450079mm,57.064993mm,Bottom,270.0
C8,16.350079mm,57.080002mm,Bottom,270.0
C9,6.600045mm,53.65mm,Bottom,90.0
C10,8.55003mm,53.65mm,Bottom,90.0
C11,10.500015mm,53.65mm,Bottom,90.0
C12,12.45mm,53.65mm,Bottom,90.0
C15,14.65mm,44.45mm,Bottom,90.0
C16,6.85003mm,47.95mm,Bottom,270.0
C17,8.800015mm,47.95mm,Bottom,270.0
C18,10.75mm,47.95mm,Bottom,270.0
C19,12.699985mm,47.95mm,Bottom,270.0
C20,14.64997mm,47.95mm,Bottom,270.0
C21,12.65mm,44.45mm,Bottom,90.0
C22,16.45mm,47.95mm,Bottom,270.0
C23,6.85003mm,44.519998mm,Bottom,90.0
C24,8.800015mm,44.519998mm,Bottom,90.0
C25,10.75mm,44.519998mm,Bottom,90.0
C28,54.95mm,39.85mm,Bottom,0.0
U1,65.85mm,47.8125mm,Bottom,90.0
C1,58.315mm,45.5mm,Top,90.0
C13,3.559999mm,58.05mm,Top,0.0
C14,3.559999mm,56.75mm,Top,0.0
C26,3.459999mm,48.85mm,Top,0.0
C27,3.459999mm,47.55mm,Top,0.0
D1,34.25mm,57.75mm,Top,90.0
D2,31.25mm,57.75mm,Top,90.0
D3,26.848502mm,26.162502mm,Top,180.0
F1,62.605mm,51.3mm,Top,270.0
F2,64.515mm,51.2875mm,Top,270.0
F3,66.315mm,51.3mm,Top,270.0
F4,20.35mm,57.85mm,Top,270.0
F5,22.85mm,57.85mm,Top,270.0
F6,26.35mm,57.85mm,Top,270.0
F7,28.75mm,57.85mm,Top,270.0
G1,75.85mm,75.15mm,Top,0.0
G2,5.82383mm,26.494279mm,Top,90.0
IC1,58.45mm,51.375mm,Top,0.0
IC2,11.55mm,55.55mm,Top,180.0
IC3,11.55mm,46.35mm,Top,180.0
J1,50.2mm,65.65mm,Top,180.0
J2,24.2mm,43.35mm,Top,90.0
R1,44.73mm,45.325mm,Top,90.0
R2,47.33mm,45.425mm,Top,90.0
R3,50.65mm,45.425mm,Top,90.0
R4,53.25mm,45.425mm,Top,90.0
R5,55.15mm,45.475mm,Top,90.0
R6,56.715mm,45.5mm,Top,90.0
R7,61.515mm,45.5mm,Top,90.0
R8,59.915mm,45.5mm,Top,90.0
R9,38.79mm,45.323405mm,Top,90.0
R10,41.29mm,45.325mm,Top,90.0
R11,3.55mm,54.15mm,Top,180.0
R12,3.45mm,44.95mm,Top,180.0
R13,28.05mm,33.25mm,Top,90.0
R14,71.15mm,24.85mm,Top,0.0
R15,71.15mm,23.45mm,Top,180.0
R16,25.95mm,2.25mm,Top,0.0
U2,46.65mm,51.35mm,Top,0.0
U3,52.55mm,51.35mm,Top,0.0
U4,40.725mm,51.3mm,Top,0.0
R148,35.049989999999994mm,15.75mm,Bottom,270.0
R142,34.149989999999995mm,17.15mm,Bottom,270.0
U108,67.24099mm,33.3302mm,Top,90.0
VD103,62.65499mm,36.150000000000006mm,Bottom,0.0
U101,37.80359mm,8.100000000000001mm,Top,0.0
C119,42.53059mm,15.7501mm,Bottom,90.0
R147,34.733689999999996mm,24.761599999999998mm,Bottom,90.0
R146,36.149989999999995mm,5.0839mm,Bottom,0.0
R141,34.149989999999995mm,18.15mm,Bottom,270.0
U102,39.52149mm,13.206500000000002mm,Bottom,270.0
R109,40.117189999999994mm,13.266300000000001mm,Top,270.0
R108,40.50599mm,10.350000000000001mm,Bottom,270.0
Q103,38.05319mm,13.992799999999999mm,Top,270.0
Q102,35.44999mm,18.545mm,Top,270.0
Q101,35.21499mm,12.822500000000002mm,Bottom,90.0
Q100,37.85499mm,9.45mm,Bottom,0.0
L100,53.899989999999995mm,19.3494mm,Bottom,270.0
F100,35.22159mm,21.205mm,Bottom,270.0
C120,54.050489999999996mm,17.4501mm,Top,90.0
C107,37.44999mm,12.328500000000002mm,Bottom,90.0
C106,41.79308999999999mm,12.3535mm,Bottom,90.0
U110,43.84509mm,11.9031mm,Bottom,0.0
R145,46.80529mm,11.9422mm,Bottom,90.0
R144,45.85979mm,11.9422mm,Bottom,90.0
R143,58.018789999999996mm,5.3468mm,Bottom,0.0
R107,35.87159mm,14.0639mm,Top,90.0
D108,34.49999mm,13.7031mm,Top,270.0
U107,58.04608999999999mm,35.0565mm,Bottom,90.0
U106,44.61819mm,35.7424mm,Top,90.0
C134,59.78239mm,35.0565mm,Bottom,90.0
C126,42.67489mm,36.0452mm,Top,270.0
VD102,62.65499mm,32.7962mm,Bottom,0.0
VD101,67.04499mm,36.150000000000006mm,Bottom,180.0
VD100,67.04499mm,32.7962mm,Bottom,180.0
U109,64.76599mm,33.3302mm,Top,90.0
U103,51.424989999999994mm,10.45mm,Bottom,0.0
U100,44.749489999999994mm,8.0501mm,Top,180.0
U195,58.899989999999995mm,15.25mm,Top,180.0
U190,58.899989999999995mm,29.45mm,Top,180.0
U185,58.899989999999995mm,8.15mm,Top,180.0
U180,58.899989999999995mm,22.349999999999998mm,Top,180.0
S101,35.63569mm,24.1497mm,Top,90.0
S100,48.74999mm,35.2965mm,Top,180.0
R140,64.94999mm,29.2501mm,Bottom,90.0
R111,53.59999mm,5.45mm,Bottom,270.0
R112,52.549989999999994mm,5.45mm,Bottom,270.0
R117,47.299989999999994mm,5.45mm,Bottom,270.0
R115,49.399989999999995mm,5.45mm,Bottom,270.0
R116,48.34999mm,5.45mm,Bottom,270.0
R114,50.44999mm,5.45mm,Bottom,270.0
R113,51.49999mm,5.45mm,Bottom,270.0
R110,54.649989999999995mm,5.45mm,Bottom,270.0
R120,41.46299mm,35.7683mm,Top,90.0
R100,44.74999mm,5.1501mm,Bottom,180.0
R258,65.45509mm,25.9077mm,Bottom,0.0
R255,67.34998999999999mm,5.1mm,Bottom,0.0
R256,62.74999mm,26.849999999999998mm,Bottom,180.0
R254,64.89999mm,5.0mm,Top,0.0
R245,66.39999mm,22.5501mm,Bottom,90.0
R227,66.39999mm,17.75mm,Bottom,90.0
R200,66.39999mm,8.1501mm,Bottom,90.0
R197,57.549989999999994mm,15.2501mm,Bottom,270.0
R196,60.34999mm,15.25mm,Bottom,90.0
R195,60.84999mm,18.1001mm,Bottom,0.0
R191,57.549989999999994mm,29.349999999999998mm,Bottom,270.0
R190,60.34999mm,29.349999999999998mm,Bottom,90.0
R186,57.549989999999994mm,8.15mm,Bottom,270.0
R185,60.34999mm,8.15mm,Bottom,90.0
R181,57.549989999999994mm,22.349999999999998mm,Bottom,270.0
R180,60.34999mm,22.349999999999998mm,Bottom,90.0
R139,67.44999mm,30.45mm,Top,0.0
R138,67.44999mm,29.25mm,Top,0.0
R137,67.44999mm,28.05mm,Top,0.0
R136,67.44999mm,26.849999999999998mm,Top,0.0
R135,66.44999mm,30.45mm,Top,180.0
R132,66.44999mm,29.25mm,Top,180.0
R126,66.44999mm,28.05mm,Top,180.0
R124,66.44999mm,26.849999999999998mm,Top,180.0
R119,53.549989999999994mm,6.050000000000001mm,Top,180.0
R118,49.44999mm,6.050000000000001mm,Top,180.0
R253,67.44999mm,24.45mm,Top,180.0
R252,67.44999mm,23.25mm,Top,180.0
R251,67.44999mm,22.05mm,Top,180.0
R250,67.44999mm,20.849999999999998mm,Top,180.0
R249,66.44999mm,24.45mm,Top,0.0
R248,66.44999mm,23.25mm,Top,0.0
R247,66.44999mm,22.05mm,Top,0.0
R246,66.44999mm,20.849999999999998mm,Top,0.0
R235,67.44999mm,19.65mm,Top,180.0
R234,67.44999mm,18.45mm,Top,180.0
R233,67.44999mm,17.25mm,Top,180.0
R232,67.44999mm,16.05mm,Top,180.0
R231,66.44999mm,19.65mm,Top,0.0
R230,66.44999mm,18.45mm,Top,0.0
R229,66.44999mm,17.25mm,Top,0.0
R228,66.44999mm,16.05mm,Top,0.0
R226,67.44999mm,14.850000000000001mm,Top,0.0
R225,67.44999mm,13.649999999999999mm,Top,0.0
R224,67.44999mm,12.45mm,Top,0.0
R223,67.44999mm,11.25mm,Top,0.0
R222,66.44999mm,14.850000000000001mm,Top,180.0
R221,66.44999mm,13.649999999999999mm,Top,180.0
R220,66.44999mm,12.45mm,Top,180.0
R219,66.44999mm,11.25mm,Top,180.0
R218,66.39999mm,12.95mm,Bottom,90.0
R208,67.44999mm,10.05mm,Top,0.0
R207,67.44999mm,8.850000000000001mm,Top,0.0
R206,67.44999mm,7.65mm,Top,0.0
R205,67.44999mm,6.45mm,Top,0.0
R204,66.44999mm,10.05mm,Top,180.0
R203,66.44999mm,8.850000000000001mm,Top,180.0
R202,66.44999mm,7.65mm,Top,180.0
R201,66.44999mm,6.45mm,Top,180.0
P106,55.49999mm,27.349999999999998mm,Top,0.0
P105,55.49999mm,19.73mm,Top,0.0
P104,55.49999mm,23.74mm,Top,0.0
P201,66.94999mm,25.7mm,Top,180.0
P200,68.44999mm,5.15mm,Top,180.0
J100,45.649989999999995mm,30.9mm,Bottom,180.0
D100,45.45769mm,8.55mm,Bottom,270.0
D205,60.19359mm,35.1465mm,Top,180.0
D206,63.649989999999995mm,22.65mm,Top,270.0
D203,63.649989999999995mm,17.85mm,Top,270.0
D200,63.649989999999995mm,8.25mm,Top,270.0
D116,54.85048999999999mm,9.5861mm,Top,270.0
D115,54.85048999999999mm,13.8244mm,Top,270.0
D114,52.91709mm,9.5861mm,Top,270.0
D113,52.91709mm,13.8244mm,Top,270.0
D112,50.98379mm,9.5861mm,Top,270.0
D111,50.98379mm,13.8244mm,Top,270.0
D110,49.050489999999996mm,9.5861mm,Top,270.0
D109,48.91109mm,13.7031mm,Top,270.0
D202,63.649989999999995mm,13.05mm,Top,270.0
C143,64.54999mm,26.849999999999998mm,Top,0.0
C144,64.54999mm,28.05mm,Top,180.0
C145,64.54999mm,29.25mm,Top,0.0
C146,64.54999mm,30.45mm,Top,0.0
C112,55.16468999999999mm,15.7622mm,Bottom,90.0
C111,55.649989999999995mm,5.45mm,Bottom,270.0
C123,37.024989999999995mm,31.05mm,Bottom,90.0
C117,35.75749mm,31.05mm,Bottom,90.0
C105,43.24999mm,9.25mm,Bottom,90.0
C100,43.24999mm,6.6775mm,Bottom,270.0
C229,65.45509mm,26.849999999999998mm,Bottom,180.0
C224,66.84998999999999mm,5.0mm,Top,180.0
C223,62.59999mm,5.0mm,Top,180.0
C222,65.54999mm,5.050000000000001mm,Bottom,0.0
C221,62.77719mm,25.2727mm,Top,0.0
C220,62.74999mm,25.1653mm,Bottom,0.0
C225,63.69999mm,20.6501mm,Bottom,0.0
C226,63.69999mm,21.75mm,Bottom,0.0
C227,63.69999mm,23.9001mm,Bottom,0.0
C228,66.45509mm,24.9653mm,Bottom,180.0
C212,63.69999mm,15.850100000000001mm,Bottom,0.0
C213,63.69999mm,16.95mm,Bottom,0.0
C214,63.69999mm,19.1001mm,Bottom,0.0
C215,66.45509mm,20.1444mm,Bottom,180.0
C200,63.69999mm,6.2501mm,Bottom,0.0
C201,63.69999mm,7.35mm,Bottom,0.0
C202,63.69999mm,9.5001mm,Bottom,0.0
C203,66.45509mm,10.5405mm,Bottom,180.0
C195,58.24999mm,18.1001mm,Bottom,0.0
C190,58.399989999999995mm,32.2mm,Bottom,0.0
C185,58.24999mm,11.0mm,Bottom,0.0
C180,58.24999mm,25.2mm,Bottom,0.0
C142,67.44999mm,30.45mm,Bottom,0.0
C141,67.44999mm,29.25mm,Bottom,0.0
C139,67.44999mm,28.0501mm,Bottom,180.0
C135,67.44999mm,26.849999999999998mm,Bottom,0.0
C211,66.45509mm,15.3581mm,Bottom,180.0
C210,63.69999mm,14.3001mm,Bottom,0.0
C209,63.69999mm,12.149999999999999mm,Bottom,0.0
C208,63.69999mm,11.0501mm,Bottom,0.0
C147,50.04129mm,21.8mm,Bottom,270.0
F101,36.85279mm,6.75mm,Bottom,180.0
R134,37.34999mm,16.0mm,Bottom,90.0
R133,36.174989999999994mm,16.0mm,Bottom,90.0
C133,39.45999mm,16.15mm,Bottom,180.0
R131,54.10619mm,22.945999999999998mm,Bottom,270.0
R130,48.924989999999994mm,16.2501mm,Bottom,180.0
R129,52.799989999999994mm,16.2501mm,Bottom,180.0
Y101,41.03259mm,18.5374mm,Bottom,90.0
C116,42.52139mm,19.4786mm,Bottom,270.0
C115,42.50769mm,17.6144mm,Bottom,90.0
C124,51.18109mm,21.8mm,Bottom,90.0
R121,34.67299mm,31.4754mm,Bottom,270.0
R106,36.524989999999995mm,25.3mm,Bottom,90.0
J101,35.799989999999994mm,30.65mm,Top,270.0
C108,39.44999mm,17.75mm,Bottom,90.0
R105,52.068889999999996mm,35.6991mm,Top,90.0
R104,53.258889999999994mm,35.4991mm,Top,90.0
R103,54.36888999999999mm,35.6991mm,Top,90.0
R125,65.92999mm,36.25mm,Top,0.0
C104,34.84999mm,10.100000000000001mm,Bottom,180.0
C137,55.14149mm,17.4452mm,Top,90.0
D101,40.605489999999996mm,6.8795mm,Bottom,270.0
C101,34.67299mm,33.8416mm,Bottom,270.0
R102,42.175489999999996mm,5.6775mm,Bottom,270.0
R101,45.049989999999994mm,16.2501mm,Bottom,0.0
D102,36.049989999999994mm,35.550000000000004mm,Top,180.0
Y102,46.06349mm,21.1938mm,Bottom,180.0
R122,56.24999mm,35.550000000000004mm,Bottom,90.0
R123,58.27409mm,33.2598mm,Bottom,0.0
R127,40.34999mm,21.349999999999998mm,Bottom,270.0
R128,54.10619mm,25.0278mm,Bottom,270.0
D106,41.48509mm,13.7031mm,Top,270.0
D105,43.28509mm,13.7031mm,Top,270.0
D107,37.76049mm,19.855mm,Bottom,270.0
D104,45.085089999999994mm,13.7031mm,Top,270.0
D103,46.88509mm,13.7031mm,Top,270.0
C140,41.44999mm,21.349999999999998mm,Bottom,90.0
C132,45.074889999999996mm,18.9175mm,Bottom,180.0
C136,47.15008999999999mm,18.9175mm,Bottom,0.0
C127,54.10619mm,29.55mm,Bottom,90.0
C138,38.07778999999999mm,5.0839mm,Bottom,180.0
C130,52.19649mm,19.5675mm,Bottom,90.0
C131,55.24999mm,29.55mm,Bottom,90.0
C122,50.04129mm,19.5675mm,Bottom,270.0
C114,40.24999mm,35.4183mm,Top,90.0
C103,34.84999mm,9.05mm,Bottom,180.0
C113,39.049989999999994mm,35.4183mm,Top,270.0
C102,42.175489999999996mm,9.25mm,Bottom,270.0
U105,46.19999mm,24.9594mm,Top,0.0
C771,18.7125mm,32.55mm,Top,90.0
C772,13.8125mm,33.25mm,Top,0.0
C773,13.8125mm,31.902094999999996mm,Top,0.0
D771,16.9125mm,30.049999999999997mm,Top,0.0
R771,23.3125mm,36.25mm,Top,0.0
R772,25.2125mm,32.449999999999996mm,Top,90.0
R773,21.6125mm,33.849999999999994mm,Top,0.0
R774,21.6125mm,31.349999999999998mm,Top,0.0
R775,17.4125mm,32.55mm,Top,90.0
R776,13.8125mm,30.099999999999998mm,Top,0.0
R777,15.9125mm,32.55mm,Top,90.0
U771,16.0125mm,35.75mm,Top,180.0
R428,27.359399mm,9.329499mm,Bottom,90.0
R427,14.224999mm,7.974999mm,Bottom,0.0
R426,25.750799mm,8.334899mm,Top,270.0
R425,24.442698999999998mm,15.449999mm,Top,90.0
R424,24.442698999999998mm,17.747099mm,Top,270.0
LED4,12.683099mm,7.086099mm,Top,270.0
LED3,25.750799mm,10.484199mm,Top,90.0
LED2,25.524099mm,15.474999mm,Top,90.0
LED1,25.524099mm,17.722099mm,Top,270.0
R422,18.533399mm,6.974999mm,Bottom,180.0
C426,24.764999mm,12.374999mm,Top,0.0
C425,22.074999mm,12.374999mm,Top,180.0
F410,19.231999000000002mm,20.641799mm,Top,0.0
C415,24.398398999999998mm,6.674999mm,Bottom,0.0
C414,23.423399mm,16.184998999999998mm,Bottom,180.0
U411,21.997199000000002mm,11.324999mm,Bottom,90.0
D410,14.874998999999999mm,20.341799mm,Bottom,180.0
R411,14.973399mm,23.241799mm,Bottom,270.0
D417,17.623399mm,23.474998999999997mm,Bottom,180.0
C410,22.867998999999998mm,21.534999mm,Bottom,180.0
D412,18.524999mm,24.091799mm,Top,180.0
R410,15.748399mm,24.124999000000003mm,Top,0.0
D413,18.524999mm,22.466799mm,Top,180.0
C411,17.598399mm,21.674999mm,Bottom,0.0
R413,17.598399mm,20.141799mm,Bottom,0.0
D414,15.074999mm,21.674999mm,Bottom,0.0
D418,18.804999mm,16.474999mm,Top,0.0
D416,23.676599mm,20.568699000000002mm,Top,180.0
U410,23.273398999999998mm,23.174999mm,Top,180.0
C412,22.867998999999998mm,23.574999mm,Bottom,180.0
C413,20.898398999999998mm,22.737899mm,Top,90.0
D411,15.223399mm,21.666499mm,Top,0.0
U420,16.138399mm,12.566799mm,Bottom,180.0
R420,20.248399mm,20.991898999999997mm,Bottom,90.0
C429,18.433399mm,7.974999mm,Bottom,0.0
C427,19.154699mm,21.176899mm,Bottom,270.0
C428,16.244298999999998mm,7.974999mm,Bottom,180.0
C423,17.071599mm,18.066799mm,Bottom,90.0
C421,18.263199mm,18.066799mm,Bottom,90.0
C422,19.454698999999998mm,18.066799mm,Bottom,90.0
C424,15.874998999999999mm,18.066799mm,Bottom,270.0
R421,19.629699mm,16.304999000000002mm,Bottom,0.0
R423,16.344299mm,6.974999mm,Bottom,180.0
D420,17.874999mm,5.974999mm,Top,0.0
C420,14.824999mm,18.474999mm,Bottom,270.0
L420,22.774999mm,18.374999000000003mm,Bottom,180.0
D421,23.124999mm,8.014199mm,Top,270.0
L421,17.374999mm,10.574999mm,Top,0.0
